Ticket_ID,Call_Date,Call_Time,Resolution_Date,Agent_Name,Department,Issue_Type,Priority,Status,Channel,Region,Handle_Time_Minutes,Wait_Time_Seconds,First_Call_Resolution,SLA_Met,Satisfaction_Score,OS_Type,Shift,Escalated,Reopen_Count,Cost_Per_Ticket_USD,Agent_Experience_Yrs
TKT-0032,04-25-2024,09:46 PM,27-Apr-2024,Alice Johnson,Sales,Data Recovery,Hign,Open,chat,,144.0,1508,Yes,,,windows 10,Night Shift,no,0.0,189.52,5.0
,20/05/2024,06:48 AM,05-20-2024,Emily Davis,Sales,network issue,low,OPEN,EMAIL,South,149.0,99999,No,no,10.0,MacOS,morning,Yes,,64.69,2.0
TKT-0137,21/09/2024,05:00 PM,09-22-2024,Carol White,IT,VPN Access,CRITICAL,resolved,phone,North,65.0,1186,Yes,no,,Linux,AFTERNOON,Yes,0.0,134.37,10.0
TKT-0089,2024/05/17,23:56:07,,,HR,Data Recovery,Mediun,Resolve,Email,South,87.0,3315,no,yes,0.0,MacOS,morning,Yes,-1.0,184.44,3.0
TKT-0919,29/01/2024,17:08:56,29/01/2024,Irene Taylor,Legal,VPN Access,CRITICAL,Resolved,phone,Central,132.0,965,NO,no,99.0,Windows 10 ,AFTERNOON,,0.0,55.44,0.0
TKT-0344,2024/10/14,10:16,2024/10/15,,HR,Data Recovery,High,Closed,chat,,107.0,1613,,no,,Linux,Night,Yes,,,0.0
TKT-0871,2024/10/21,17:40:15,2024-10-22,frank miller,Legal,Hardware Failure,medium,Escalated,self-service portal,East,159.0,1719,NO,no,99.0,Windows 10,Afternoon,no,,,99.0
TKT-0319,01-17-2024,03:59:22 PM,18-Jan-2024,David Brown,Legal,Data Recovery,HIGH,closed,Self-Service Portal,North,175.0,2619,no,no,,macOS,AFTERNOON,No,-1.0,103.24,
TKT-0262,2024/02/15,03:40:36,16/02/2024,James Anderson,IT,Password Reset,Low,In progress,Phone,South,38.0,1111,NO,No,,Windows 11,Morning,Yes,0.0,42.42,99.0
TKT-0536,01-15-2024,03:05:11 AM,2024-01-16,Irene Taylor,Sales,Hardware failure,High,Resolved,Walk In,West,27.0,388,yes,,0.0,Windows 10,Morning,No,,171.28,
TKT-0920,02-Aug-2024,11:32,,Alice Johnson,HR,network issue,High,Resolve,EMAIL,,37.0,3043,yes,no,,Windows 10 ,morning,,2.0,98.32,8.0
TKT-0597,21-Jan-2024,01:17,2024-01-23,Carol White,Finance,VPN Access,Low,Open,Chat,Central,59.0,2895,,No,2.0,Windows 11,Night,yes,2.0,16.41,5.0
TKT-0077,26/11/2024,21:41,27-Nov-2024,Henry Moore,Operations,System Crash,CRITICAL,resolved,EMAIL,Central,,443,Yes,Yes,5.0,MacOS,Night Shift,no,3.0,90.44,0.0
